Country,Date,TotalSpent
USA,2023-01-01,524.77
USA,2023-02-01,518.86
USA,2023-03-01,557.19
USA,2023-04-01,520.26
USA,2023-05-01,496.51
USA,2023-06-01,504.73
USA,2023-07-01,478.24
USA,2023-08-01,463.54
USA,2023-09-01,418.43
USA,2023-10-01,368.4
USA,2023-11-01,374.73
USA,2023-12-01,366.1
USA,2024-01-01,366.1
USA,2024-02-01,366.1
USA,2024-03-01,366.1
USA,2024-04-01,372.41
USA,2024-05-01,413.71
USA,2024-06-01,407.58
USA,2024-07-01,401.46
USA,2024-08-01,441.29
USA,2024-09-01,458.23
USA,2024-10-01,454.61
USA,2024-11-01,467.6
USA,2024-12-01,523.0
Germany,2023-01-01,156.53
Germany,2023-02-01,154.77
Germany,2023-03-01,166.2
Germany,2023-04-01,155.18
Germany,2023-05-01,148.1
Germany,2023-06-01,150.55
Germany,2023-07-01,142.65
Germany,2023-08-01,138.26
Germany,2023-09-01,124.81
Germany,2023-10-01,109.89
Germany,2023-11-01,111.77
Germany,2023-12-01,109.2
Germany,2024-01-01,109.2
Germany,2024-02-01,109.2
Germany,2024-03-01,109.2
Germany,2024-04-01,111.08
Germany,2024-05-01,123.4
Germany,2024-06-01,121.57
Germany,2024-07-01,119.75
Germany,2024-08-01,131.63
Germany,2024-09-01,136.68
Germany,2024-10-01,135.6
Germany,2024-11-01,139.48
Germany,2024-12-01,156.0
Canada,2023-01-01,304.02
Canada,2023-02-01,300.6
Canada,2023-03-01,322.81
Canada,2023-04-01,301.41
Canada,2023-05-01,287.65
Canada,2023-06-01,292.42
Canada,2023-07-01,277.07
Canada,2023-08-01,268.55
Canada,2023-09-01,242.42
Canada,2023-10-01,213.43
Canada,2023-11-01,217.1
Canada,2023-12-01,212.1
Canada,2024-01-01,212.1
Canada,2024-02-01,212.1
Canada,2024-03-01,212.1
Canada,2024-04-01,215.76
Canada,2024-05-01,239.68
Canada,2024-06-01,236.13
Canada,2024-07-01,232.59
Canada,2024-08-01,255.66
Canada,2024-09-01,265.47
Canada,2024-10-01,263.38
Canada,2024-11-01,270.9
Canada,2024-12-01,303.0
France,2023-01-01,195.66
France,2023-02-01,193.46
France,2023-03-01,207.75
France,2023-04-01,193.98
France,2023-05-01,185.12
France,2023-06-01,188.19
France,2023-07-01,178.31
France,2023-08-01,172.83
France,2023-09-01,156.01
France,2023-10-01,137.36
France,2023-11-01,139.72
France,2023-12-01,136.5
France,2024-01-01,136.5
France,2024-02-01,136.5
France,2024-03-01,136.5
France,2024-04-01,138.85
France,2024-05-01,154.25
France,2024-06-01,151.97
France,2024-07-01,149.68
France,2024-08-01,164.53
France,2024-09-01,170.85
France,2024-10-01,169.5
France,2024-11-01,174.34
France,2024-12-01,195.0
Brazil,2023-01-01,190.64
Brazil,2023-02-01,188.5
Brazil,2023-03-01,202.42
Brazil,2023-04-01,189.0
Brazil,2023-05-01,180.38
Brazil,2023-06-01,183.36
Brazil,2023-07-01,173.74
Brazil,2023-08-01,168.4
Brazil,2023-09-01,152.01
Brazil,2023-10-01,133.84
Brazil,2023-11-01,136.13
Brazil,2023-12-01,133.0
Brazil,2024-01-01,133.0
Brazil,2024-02-01,133.0
Brazil,2024-03-01,133.0
Brazil,2024-04-01,135.29
Brazil,2024-05-01,150.3
Brazil,2024-06-01,148.07
Brazil,2024-07-01,145.85
Brazil,2024-08-01,160.32
Brazil,2024-09-01,166.47
Brazil,2024-10-01,165.15
Brazil,2024-11-01,169.87
Brazil,2024-12-01,190.0
United Kingdom,2023-01-01,112.38
United Kingdom,2023-02-01,111.11
United Kingdom,2023-03-01,119.32
United Kingdom,2023-04-01,111.41
United Kingdom,2023-05-01,106.33
United Kingdom,2023-06-01,108.09
United Kingdom,2023-07-01,102.42
United Kingdom,2023-08-01,99.27
United Kingdom,2023-09-01,89.61
United Kingdom,2023-10-01,78.89
United Kingdom,2023-11-01,80.25
United Kingdom,2023-12-01,78.4
United Kingdom,2024-01-01,78.4
United Kingdom,2024-02-01,78.4
United Kingdom,2024-03-01,78.4
United Kingdom,2024-04-01,79.75
United Kingdom,2024-05-01,88.6
United Kingdom,2024-06-01,87.28
United Kingdom,2024-07-01,85.97
United Kingdom,2024-08-01,94.5
United Kingdom,2024-09-01,98.13
United Kingdom,2024-10-01,97.35
United Kingdom,2024-11-01,100.14
United Kingdom,2024-12-01,112.0
